Station Name,State Name,temp_min,temp_max, bact grow,oxy_min,oxy_max,ph_min,ph_max
"KHANDITARA (D/S OF
INDUSTRIAL ACTIVITIES AT
KALINGA NAGAR)",ODISHA,25,37,0,5.7,8.4,7.1,8.3
KHARSROTA AT AUL,ODISHA,23,41,0,5.9,9.7,7.2,8.2
KOEL U/S (A/C OF KARO),ODISHA,12,39,0,5.8,8.3,7.1,8.3
BAITARNI AT JODA,ODISHA,18,38,0,5.6,8.5,7.5,8.4
BAITARNI AT ANANDPUR,ODISHA,13,38,0,6.2,8.6,7.4,8.3
BAITARNI AT JAJPUR,ODISHA,23,37,0,5.4,8.8,7.2,8.3
"BAITARNI AT CHANDBALI,",ODISHA,23,40,0,5,7.8,7.1,8.2
BAITARNI AT DHAMRA,ODISHA,23,33,1,5,6.5,7.8,8.4
"KUSEI BEFORE JOINING WITH
BAITARANI RIVER AT
ANANDPUR",ODISHA,13,34,1,6.1,9.5,7.8,8.5
"SUBARNAREKHA AT RAJGHAT
NEAR BIHAR BORDER",ODISHA,21,34,1,5.6,8.8,7.3,7.8
BEAS AT TALWARA H/W,PUNJAB,12,21,1,7.2,8.1,7,7.6
BEAS U/S PATHANKOT,PUNJAB,12,23,1,6,7.8,7.1,7.6
BEAS D/S PATHANKOT,PUNJAB,11,22,1,7,7.8,7,7.5
"BEAS AT 1KM.D/S OF EFFL.
DISH. POINT AT MUKERIAN",PUNJAB,10,22,1,5,6.4,7.2,7.6
"BEAS AT G.T.ROAD UNDER
BDG. NEAR KAPURTHALA",PUNJAB,11,21,1,7.3,7.8,7.2,7.8
BEAS U/S GOINDWAL,PUNJAB,12,23,1,7.2,7.6,7,7.6
"BEAS 100M D/S INDUST.
DISCH. GOINDWAL",PUNJAB,12,22,1,7.1,7.8,7,7.7
"BEAS AT HARIKE, PUNJAB",PUNJAB,12,23,1,7.4,7.8,6.8,7.1
"EAST KALI BEIN FALLING
INTO RIVER BEAS",PUNJAB,13,24,0,1.8,2.5,7.3,8.1
"SATLUJ 100M U/S OF
HEADWORKS, NANGAL",PUNJAB,16,25,1,7.9,8.5,7.6,8
"SATLUJ 100M D/S , NANGAL",PUNJAB,17,22,1,7.7,8.2,7.2,8.6
SATLUJ 1 KM. D/S OF ZENITH,PUNJAB,16,27,1,7.2,7.8,7.7,8.3
SATLUJ D/S KIRATPUR SAHIB,PUNJAB,15,27,1,7.5,8.4,7.3,8
"SATLUJ U/S HEAD WORKS
ROPAR",PUNJAB,16,27,1,7.8,7.9,7.6,8.2
SATLUJ D/S NFL,PUNJAB,15,24,1,7.6,8.2,7.6,8.3
"SATLUJ U/S BUDHA NALLAH
(UPPER)",PUNJAB,19,31,1,6.4,7.8,7.2,7.9
"SATLUJ 100M D/S BUDHA NALA
CONFL., LUDHIANA",PUNJAB,19,33,0,2.6,5.8,7.4,7.9
"SATLUJ AT BOAT BDG.
DHARMKOTNAKODAR ROAD,
JALANDHAR",PUNJAB,19,29,1,5.4,7.6,6.6,7.1
SATLUJ D/S EAST BEIN BASIN,PUNJAB,11,24,0,1,3.2,7.2,7.9
"SATLUJ U/S HUSSANIWALA -
H/W FEROZEPUR",PUNJAB,14,28,1,7.2,7.8,7.3,8
"SATLUJD/S HUSSANIWALA-H/W
FEROZEPUR",PUNJAB,14,27,1,7,7.8,7.5,8
"SATLUJ, 100 MT. D/S OF PACL,
NANGAL",PUNJAB,15,24,1,7.6,8,7,7.6
"SATLUJ AT BRIDGE HARIKE,
AMRITSAR",PUNJAB,12,24,0,4.8,5.6,7.4,7.8
"RAVI U/S OF MADHOPUR H/W,
GURDASPUR",PUNJAB,10,22,0,7,8.1,7.5,9.8
"CHAMBAL ENTERING IN
RAJASTHAN AT GANDHI SAGAR
DAM, KOTA",RAJASTHAN,18,31,0,4.6,6.7,7.7,8.8
"CHAMBAL AT KOTA U/S (INTAKE
PT. NEAR BARRAGE)",RAJASTHAN,19,30,0,5.5,7.1,7.9,9.1
"CHAMBAL AT KOTA D/S (2 KM.
FROM CITY)",RAJASTHAN,19,31,0,4.5,6.8,7.9,9
"CHAMBAL AT
RAMESHWARGHAT NR.
SAWAIMADHOPUR",RAJASTHAN,13,34,0,4.9,6.1,8,9
"PARVATI B/M CHAMBAL AT
KHATOLI, KOTA",RAJASTHAN,17,31,1,5,7.4,8,8.8
"KALI SINDH AT ANICUT OF M/S
CFCL GADEPAN, KOTA",RAJASTHAN,16,30,0,4.7,6.3,8.1,8.9
"RIVER KALI SINDH AT BAROD
ROAD BRIDGE, KOTA",RAJASTHAN,16,31,0,4.6,6.9,7.5,9
"BANAS,DHANARI DAM, NEAR
SWAROOPGANJ, SIROHI",RAJASTHAN,16,25,0,4.5,7.3,8.1,9.4
"BANAS,NEAR NEWTA DAM,
JAIPUR",RAJASTHAN,17,30,0,1.9,4.2,7.8,9.4
"BANAS,BISULPUR DAM, TONK",RAJASTHAN,20,34,0,3.6,6.1,7.6,8.6
"CHHAPI ,U/S OF CHHAPI DAM,
JHALAWAR",RAJASTHAN,19,31,0,4.9,5.7,7.6,8.7
"UJAD,U/S OF BHIM SAGAR
DAM, JHALAWAR",RAJASTHAN,18,31,1,5.1,6.3,6.6,8.5
"MAHI (D/S) CONF WITH R. CHAP
(UNDER SAGWARA-SARHI RD.
BDG.)",RAJASTHAN,21,33,0,4.1,6.8,6.6,8.4
CAUVERY AT METTUR,TAMIL NADU,29,32,1,5.7,8.4,7.5,8.8
CAUVERY AT RN PUDUR,TAMIL NADU,27,33,0,1.8,7,7.1,8.3
CAUVERY AT PALLIPALAYAM,TAMIL NADU,25,33,1,5.4,7.5,7.3,8.7
"CAUVERY AT ERODE NEAR
CHIRAPALAYAM, TAMILNADU",TAMIL NADU,26,34,0,0.6,7.2,7.1,8.6
"CAUVERY AT VELORE NEAR
KATTIPALAYAM",TAMIL NADU,25,32,0,5.7,7.7,7.1,9
"CAUVERY AT PUGALUR, KARUR",TAMIL NADU,26,28,0,5.1,7.4,7.3,9.3
"CAUVERY AT MOHANUR NEAR
PATTAIPALAYAM",TAMIL NADU,25,32,1,4.5,6.9,7,8.8
"CAUVERY AT THIRUMUKKUDAL
CONFLUENCE PT. FOR AMRAVATI",TAMIL NADU,27,30,0,5.5,7.7,7.8,9.4
CAUVERY AT MUSIRI,TAMIL NADU,29,32,1,5.7,8.4,7.5,8.8
"CAUVERY AT PETTAIVAITHALAI,
TRICHY",TAMIL NADU,27,30,1,6.5,8.3,7.8,8.6
CAUVERY U/S TIRUCHIRAPALLI,TAMIL NADU,27,29,1,6,8.2,7.8,8.7
CAUVERY D/S TIRUCHIRAPALLI,TAMIL NADU,26,28,0,2.2,7.9,7.3,8.8
"CAUVERY AT GRAND ANICUT,
TRICHY",TAMIL NADU,25,27,0,3.6,8,7.4,8.8
CAUVERY AT THANJAVUR,TAMIL NADU,25,30,1,5.4,7.2,7.1,8.9
"CAUVERY AT MAYILADUTHURAI,
NAGAPATTINAM",TAMIL NADU,24,24,1,8.2,8.2,8.9,8.9
"CAUVERY AT KOMARAPALAYAM,
NAMAKAL",TAMIL NADU,26,33,1,4,7.5,7.1,8.7
"CAUVERY AT URACHIKOTTAI,
ERODE",TAMIL NADU,26,36,0,4.7,8.3,7.2,9
"CAUVERY AT VAIRAPALAYAM,
NAMAKAL",TAMIL NADU,26,33,1,4.1,8.4,7.1,8.6
"CAUVERY AT KUMBAKONAM,
THANJAVU",TAMIL NADU,25,32,1,5.4,7.4,7.5,8.7
CAUVERY AT COLEROON,TAMIL NADU,28,30,0,4,7.6,7.2,9.2
CAUVERY AT PITCHAVARAM,TAMIL NADU,28,30,1,4.1,8.2,7.2,8.6
"BHAVANI AT PATHIRAKALIAMMAN
KOIL",TAMIL NADU,25,27,1,5,7.6,6.4,7.8
BHAVANI AT SIRUMUGAI,TAMIL NADU,25,27,1,6,8,6.7,8
BHAVANI AT BHAVANI SAGAR,TAMIL NADU,23,34,1,5.5,7.8,6.9,8.4
BHAVANI AT BHAVANI,TAMIL NADU,26,34,1,4.8,7.6,7,8.5
"BHAVANI AT D/S OF BHAVANI
SAGAR, SATHYAMANGALAM,
ERODE",TAMIL NADU,24,33,1,4.8,7.7,6.8,8.1
"AMRAVATI AT 1KM D/S FROM
EFF.DIS. PT. AT
MADHUTHUKKULAM",TAMIL NADU,24,27,1,6.1,8,6.9,8.1
"BHAVANI U/S OF KALINGARAYAN
CANAL (B5), ERODE",TAMIL NADU,27,33,1,4.5,6.7,7.2,8.2
"BHAVANI D/S OF KALINGARAYAN
CANAL (B10), ERODE",TAMIL NADU,27,33,1,5.9,7.6,7.6,8.5
"SARABANGA AT SALEM D/S OF
TEXTILE DYING INDUSTRIES
EFFLUENT",TAMIL NADU,25,31,0,3.5,5.4,6.6,8.4
"VASISTA AT SALEM, D/S OF SAGO
INDUSTRIES EFFLUENT",TAMIL NADU,27,34,0,2.1,2.1,6.4,8.1
"GODAVARI D/S KAMALPUR AT
M/S RAYONS LTD. DISCHARGE
POINT, WARANGAL",TELANGANA,19,27,1,5.2,6.2,7.1,8.6
"GODAVARI AT GODAVARIKHANI,
NEAR BATHING GHAT,
KARIMNAGAR",TELANGANA,26,29,1,4.1,5.8,7.1,8.8
"GODAVARI AT BURGAMPAHAD,
KHAMMAM",TELANGANA,17,27,0,3.7,6.9,7.3,8.1
"SABARI AT KUNAVARAM,
KHAMMAM",TELANGANA,19,30,1,5.4,7,7.2,8.1
"MANJEERA AT GOWDICHARLA B/C
WITH NAKKAVAGU",TELANGANA,26,29,1,5.2,8.6,7.4,8.3
"MANJEERA AT GOWDICHARLA A/C
WITH NAKKAVAGU",TELANGANA,26,29,1,5.5,8.3,7.4,7.9
"MANJEERA NEAR GANAPATHI
SUGARS , DIST MEDAK",TELANGANA,25,29,1,6.2,8.6,7.5,8.4
MANJERA AT RAIPALLU,TELANGANA,26,29,1,6.5,8,7.8,8.5
MANER U/S WARANGAL,TELANGANA,18,26,1,5.5,6.2,7.1,8.2
MANER AT SOMNAPALLI,TELANGANA,26,26,1,5.5,6,7.9,8.7
"KINNERASANI A/C OF KTPS ASH
POND EFFLUENTS, KHAMMAM",TELANGANA,16,26,0,4,6.5,7.1,8.6
"THANGADI , MAHABOOBNAGAR
DIST",TELANGANA,18,28,0,4,6.6,7.3,8.3
KRISHNA AT GADWAL BRIDGE,TELANGANA,24,27,0,4,6.8,7.5,8.2
"KRISHNA AT WADAPALLY A/C
WITH MUSI (SHIFTED FROM
1220)",TELANGANA,21,27,1,5.7,8.8,7.4,8.6
MUSI U/S HYDERABAD,TELANGANA,24,29,0,3.5,5.6,7.4,8.3
MUSI D/S HYDERABAD,TELANGANA,24,29,0,1,4.2,7,7.9
"MUSI AT NAGOLE, RANGAREDDY",TELANGANA,24,29,0,1,2,7.1,7.9
"MUSI RESERVOIR AT KASANIGUDA,
NALGONDA",TELANGANA,21,27,0,3.5,8,7.2,9.3
"MUNERU B/C. WITH KRISHNA,
NANDIGAMA",TELANGANA,23,26,0,6.2,6.8,6.5,7.8
"NAKKAVAGU, BACHUGUDEM,
MEDAK",TELANGANA,24,28,0,2.5,6.5,7.1,8.4
"MANU AT MANUGHAT, CONFL
POINT OF CHAWMANU CHARRA &
MANU RIVER, DHALAI",TRIPURA,26,27,0,5.2,6.2,6.1,7
MANU D/SAT KAILASHAHAR,TRIPURA,26,28,1,5.5,7,7.2,8.2
MANU AT KUMARGHAT,TRIPURA,26,28,1,6.9,8.5,7.2,7.6
"GANGA AT
GARHMUKTESHWAR",UTTAR PRADESH,16,26,1,7.1,9.65,7,7.6
GANGA U/S ANOOPSHAHAR,UTTAR PRADESH,18,21,1,7,9.4,7.1,7.5
GANGA D/S ANOOPSHAHAR,UTTAR PRADESH,18,23,1,7,9.4,7.3,7.6
"GANGA AT NARORA
(BULANDSAHAR)",UTTAR PRADESH,19,22,1,6.2,9,7,7.8
"GANGA AT KACHHLA GHAT,
ALIGARH",UTTAR PRADESH,20,21,1,6.4,7.9,7,7.5
"GANGA U/S KANNAUJ
(RAJGHAT)",UTTAR PRADESH,17,33,0,7.4,9.7,6.9,8.4
GANGA D/S KANNAUJ,UTTAR PRADESH,17,33,1,7.5,9.4,7,8.3
GANGA AT BITHOOR (KANPUR),UTTAR PRADESH,16,33,0,7,9.9,6.9,8.4
"GANGA U/S KANPUR
(RANIGHAT)",UTTAR PRADESH,16,33,1,6.6,9.4,7,8.4
"GANGA D/S KANPUR (JAJMAU
PUMPING STATION)",UTTAR PRADESH,16,33,0,4.6,8.8,7.1,8.2
"GANGA AT DALMAU (RAI
BAREILLY)",UTTAR PRADESH,13,28,1,6.1,8.5,7.8,8
"GANGA AT KALA KANKAR,
RAEBARELI",UTTAR PRADESH,17,28,1,6.3,8.7,7.8,8
"GANGA AT ALLAHABAD
(RASOOLABAD)",UTTAR PRADESH,20.3,27.6,1,6.8,8.6,7.9,8.4
"GANGA AT KADAGHAT,
ALLAHABAD",UTTAR PRADESH,20.5,28,1,7,8.4,7.9,8.4
"GANGA AT ALLAHABAD D/S
(SANGAM),",UTTAR PRADESH,21,28,1,7.2,8.4,7.7,8.4
"GANGA U/S, VINDHYACHAL,
MIRZAPUR",UTTAR PRADESH,19,24,0,7.7,8.4,6.5,7.9
GANGA D/S MIRZAPUR,UTTAR PRADESH,19,23,1,7.9,8.5,6.6,7.9
"GANGA U/S VARANASI
(ASSIGHAT)",UTTAR PRADESH,21,31,1,7.4,9.8,7.4,8.5
"GANGA D/S VARANASI
(MALVIYA BRIDGE)",UTTAR PRADESH,21,31,1,6.4,8.6,7.3,8.6
"GANGA AT TRIGHAT
(GHAZIPUR)",UTTAR PRADESH,21,31,1,6.7,8.8,7.3,8.7
"YAMUNA AT KESIGHAT,
VRINDAVAN",UTTAR PRADESH,20,34,0,3.4,9.6,6.8,7.8
YAMUNA U/S MATHURA,UTTAR PRADESH,24,24,0,0.9,5.5,7.5,7.9
"YAMUNA AT VISHRAMGHAT,
MATHURA",UTTAR PRADESH,20,32,0,2.8,5.2,6.7,7.9
YAMUNA D/S MATHURA,UTTAR PRADESH,22,22,0,2.8,6.5,7.6,8
YAMUNA D/S AGRA,UTTAR PRADESH,22,33,0,2.8,16.3,7.1,8.1
YAMUNA AT SHAHPUR,UTTAR PRADESH,18,34,0,4.8,7.6,7.5,8.2
YAMUNA AT BATESWAR,UTTAR PRADESH,23,32,1,6.2,9.2,7.3,7.9
YAMUNA AT ETAWAH,UTTAR PRADESH,22,31,1,6.4,9.6,7.4,7.9
"YAMUNA AT JUHIKA B/C WITH
CHANBAL, ETAWAH",UTTAR PRADESH,21,29,0,5.4,10.8,7.2,7.8
"YAMUNA AT ALLAHABAD D/S
(BALUA GHAT)",UTTAR PRADESH,21,28.5,1,7.4,8.8,7.9,8.3
RAMGANGA B/C AT KANNAUJ,UTTAR PRADESH,17,33,1,6.1,8.9,6.9,8.5
KALINAD B/CI AT KANNAUJ,UTTAR PRADESH,17,33,1,5.9,9.4,7,8.2
"VARUNA AT RAMESHWAR,
VARANASI",UTTAR PRADESH,22,34,1,5.9,9,7.2,8.2
"VARUNA B/C WITH GANGA AT
VARANASI",UTTAR PRADESH,22,34,0,1.5,6.4,7.4,8.6
"SAI AT UNNAO AFTER DRAIN
OUTFALL",UTTAR PRADESH,18,29,1,6.7,8.1,7.1,7.4
"SAI AT JALALPUR, JAUNPUR",UTTAR PRADESH,22,32,1,6.8,8.6,7.2,8.4
"GOMTI AT SITAPUR U/S AT
WATER INTAKE",UTTAR PRADESH,17,36,1,7.8,11.9,7.5,8.7
"GOMTI AT LUCKNOW U/S AT
WATER INTAKE POINT",UTTAR PRADESH,18,36,1,5.4,10.6,7.6,8.5
GOMTI D/S LUCKNOW,UTTAR PRADESH,18,35,0,0.3,4.1,7.4,7.9
GOMTI D/S JAUNPUR,UTTAR PRADESH,22,33,1,7.1,8.8,8,8.6
GOMTI AT VARANASI,UTTAR PRADESH,21,31,1,7.4,9.2,7.2,8.4
"RAPTI AT RAJGHAT,
GORAKHPUR",UTTAR PRADESH,13,31,1,7.2,7.5,7.8,8.2
"RAPTI A/C OF HONIN NR.
DOMINGARH RLY BRIDGE,
GORAKHPUR",UTTAR PRADESH,15,32,1,7.4,8,8,8.2
"SARYU AT AYODHYA AT MAIN
BATHING GHAT",UTTAR PRADESH,18,25,1,7.4,9.9,7.8,7.9
GHAGHARA D/S DEORIA,UTTAR PRADESH,15,31,1,7.5,8,8,8.2
"GHAGHRA AT BARHALGANJ,
GORAKHPUR",UTTAR PRADESH,14,33,1,7.1,7.9,7.8,8.3
RIHAND U/S RENUKUT,UTTAR PRADESH,21,26,1,7.1,7.9,7.2,8.2
RIHAND D/S RENUKUT,UTTAR PRADESH,21,26,1,7.5,8.2,7.3,8.3
HINDON D/S GHAZIABAD,UTTAR PRADESH,16,26,0,0,0,6.7,7.5
"BETWA B/C YAMUNA AT
HAMIRPUR",UTTAR PRADESH,18,34,0,4.8,7.4,7.8,8.4
GOVIND SAGAR,UTTAR PRADESH,19,34,1,5.9,7.2,7.7,8.9
BHAGIRATHI AT GANGOTRI,UTTARAKHAND,5,5,1,9.2,9.2,7.6,7.6
"ALKANANDA B/C MANDAKINI
AT RUDRA PRAYAG",UTTARAKHAND,15,19,1,8.4,9.4,7.5,7.9
"MANDAKINI B/C ALKALNADA
AT RUDRAPRAYAG",UTTARAKHAND,16,18,1,8.6,9.6,7.4,7.9
"ALKANANDA A/C MANDAKINI
AT RUDRAPRAYAG",UTTARAKHAND,16,19,1,8.2,9,7.5,8.1
"ALKANANDA B/C TO
BHAGIRATHI AT DEVPRAYAG",UTTARAKHAND,17,19,1,8.6,9.2,7.5,7.8
"BHAGIRATHI B/C WITH
ALAKNANDA AT DEVPRAYAG",UTTARAKHAND,17,19,1,9,9.6,7.6,7.9
"ALKANANDA A/C WITH
BHAGIRATHI AT DEVPRAYAG",UTTARAKHAND,17,18,1,8.8,9.6,7.5,7.7
GANGA AT RISHIKESH U/S,UTTARAKHAND,16,20,1,9.2,10.6,7.2,7.8
"GANGA A/C OFSONG NEAR
SATYANARAYAN TEMPLE D/S
RAIWALA",UTTARAKHAND,15,21,1,7.6,9.6,7.4,7.7
UPPER GANGA D/S ROORKEE,UTTARAKHAND,15,20,1,8.6,10.6,7.5,7.8
GANGA D/S HARIDWAR,UTTARAKHAND,15,25,0,4,10.6,6.3,7.8
YAMUNA AT YAMUNOTRI,UTTARAKHAND,6,6,0,8.8,8.8,7.5,7.5
"YAMUNA AT
HANUMANCHATTI",UTTARAKHAND,8,8,0,8.6,8.6,7.6,7.6
"YAMUNA U/S OF LAKHWAR
DAM",UTTARAKHAND,19,19,1,8.6,8.6,8.2,8.2
"YAMUNA AT U/S DAK
PATTHAR",UTTARAKHAND,17,20,1,8,8.8,7.6,7.9
GOLA AT HALDWANI,UTTARAKHAND,11,20,1,7,7.8,7.2,7.9
BHALLA U/S KASHIPUR,UTTARAKHAND,18,32,1,5.2,8.2,7.1,7.6
"BHALLA AT LOHIA BRIDGE D/S
KASHIPUR",UTTARAKHAND,23,32,0,0,0.8,6.8,7.6
"DHELA U/S AT KASHIPUR
MORADABAD ROAD BRIDGE",UTTARAKHAND,20,32,0,3.2,8.8,7.3,7.6
"DHELA D/S AT THAKURDWARA
ALIGANJ ROAD",UTTARAKHAND,19,32,0,0,8.2,7.3,8.3
KICHHA AT KICHHA U.S. NAGAR,UTTARAKHAND,20,32,0,3.2,5.2,7.3,7.8
"KOSI AT KASHIPUR BAJPUR ROAD
BRIDGE",UTTARAKHAND,21,32,1,6.2,6.8,7.2,7.6
"NANDAUR U/S SITARGANJ
INDUSTRIAL AREA, US NAGAR",UTTARAKHAND,26,32,0,3.4,7.8,7.1,7.5
"NANDAUR D/S SITARGANJ
INDUSTRIAL AREA, US NAGAR",UTTARAKHAND,27,30,1,5.8,6.8,7.1,7.4
PILKHAR AFTER BILASPUR RAMPUR,UTTARAKHAND,26,32,0,4.8,5.8,7.2,8.5
GANGA AT BAHARAMPORE,WEST BENGAL,19,31,1,5,9.1,7.6,8.3
"NABADIP ON
GANGA,GHOSHPARA NEAR
MONIPURGHAT",WEST BENGAL,18.5,34,0,4.7,9.4,7.3,8.5
"TRIBENI ON GANGA, NEAR
BURNING GHAT",WEST BENGAL,20,35,0,5.1,9.6,7.3,8.5
GANGA AT PALTA,WEST BENGAL,22,33,0,4.7,9.4,7.1,8.3
GANGA AT SERAMPORE,WEST BENGAL,19,34,0,4.6,8.9,7.1,8.3
GANGA AT DAKSHINESHWAR,WEST BENGAL,22,35,0,3.8,8.2,7.6,8.2
GANGA AT HOWRAH-SHIVPUR,WEST BENGAL,21,34,0,3.7,8.5,7.6,8.2
GANGA AT GARDEN REACH,WEST BENGAL,22,36,0,3.1,8.6,7.6,8.3
GANGA AT ULUBERIA,WEST BENGAL,20,32,0,2.5,7.1,7.3,8.2
"GANGA AT DIAMOND
HARBOUR",WEST BENGAL,22,33,0,4.4,7.4,7.8,8.4
"KALJANI D/S OF ALIPURDWAR,
MUNICIPALITY DISCHARGE POINT",WEST BENGAL,20,32,1,6,8.3,7.2,8.1
"DAMODAR AT DISHERGARH
VILL.(NR.BIHAR-WEST BENGAL
BORDER)",WEST BENGAL,20,31,1,6.3,12,7.4,8.1
"DAMODAR AT D/S OF IISCO AFTER
3RD OUTFALL AT DHENNA VILLAGE",WEST BENGAL,21,32,1,6.6,12,7.1,8.3
"DAMODAR AT NARAINPUR A/C OF
NUNIA NALLAH",WEST BENGAL,22,34,0,4.7,15,7.1,8.4
"DAMODAR NEAR MUJHER MANA
VILLAGE A/C OF TAMLA NALLAH",WEST BENGAL,21,34,0,4.9,8.7,7.1,8.4
"HOOGHLY, DURGACHAK, NEAR
PATHIKALI",WEST BENGAL,23,32,1,5.4,8.1,7.5,8.2
"DAMODAR,WATER INTAKE POINT
FOR BURDWAN TOWN",WEST BENGAL,21,36,1,6.5,11.3,7.4,8.3
"BARAKAR AT ASANSOL (WATER
INTAKE POINT)",WEST BENGAL,21,31,1,6,11.8,7.2,8.2
"RUPNARAYAN , D/S AT KOLAGHAT,
NEAR KOLAGHAT RAIL BRIDGE NO.3",WEST BENGAL,22,34,1,5.7,7.9,7.5,8.2
"RUPNARAYAN B/C TO RIVER GANGA
NEAR GEONKHALI",WEST BENGAL,21,32,1,4.8,8.5,7.8,8.5
"DWARAKESHWAR WATER INTAKE
POINT FOR BANKURA TOWN",WEST BENGAL,22,33,1,6,9.5,7.2,8.3
"DWARKA, U/S OF TARAPITH AT
SADHAK BAMDEB GHAT",WEST BENGAL,19,36,0,3,12.4,6.8,8.7
"DWARKA , D/S OF TARAPITH, AT
SATIGHAT",WEST BENGAL,19,37,0,4.8,12.2,6.7,8.8
"SILABATI, D/S AT GHATAL",WEST BENGAL,22,36,0,4.7,8.3,6.9,8.1
"JALANGI, D/S OF KRISHNA NAGAR",WEST BENGAL,21,34,0,1.6,9.8,7.1,8.3
CHURNI D/S OF SANTIPUR TOWN,WEST BENGAL,22,34,0,1.8,7.3,7.1,8.1
"CHURNI, MAJHADIA",WEST BENGAL,22,32,0,0.2,6.8,7.2,8.3
"MATHA BHANGA, GOBINDAPUR",WEST BENGAL,22,32,0,0.4,6.3,7.3,8.1
"MAYURAKSHI, WATER INTAKE POINT
FOR SURI TOWN",WEST BENGAL,20,33,1,5.1,10.2,6.9,8.2
"KANSI, D/S MIDNAPORE, NEAR NEW
HANUMAN MANDIR, GANDHIGHAT",WEST BENGAL,24,36,0,5.6,11.2,6.8,9
MAHANANDA AT SILIGURI,WEST BENGAL,14,30,0,3.3,8.7,6.5,7.9
"MAHANANDA D/S, RAMGHAT",WEST BENGAL,12,34,0,1.2,6.2,6.8,7.8
"VINDYADHARI, U/S HAROA BRIDGE",WEST BENGAL,21,33,0,0.4,2.2,7.5,8
"VINDYADHARI D/S MALANCHA
BURNING GHAT",WEST BENGAL,21,39,0,0.6,4.1,7.4,8
"KAROLA, D/S OF JALPAIGURI, NEAR
MIN BHAWAN",WEST BENGAL,20,34,1,4.1,8.4,6.7,7.8
TEESTA AT SILIGURI,WEST BENGAL,11,26,1,5.6,8.7,6.8,8
MAHANADI AT SIHAWA,CHHATTISGARH,24,28,1,6.2,6.8,7.5,7.7
"MAHANADI U/S RUDRI
DHAMTORI RESERVOIR",CHHATTISGARH,24,28,1,7.2,7.4,7.7,7.9
MAHANADI U/S OF RAJIM,CHHATTISGARH,24,32,0,6.1,7.7,5.6,7.6
"MAHANADI AT ARRANG, RAIPUR",CHHATTISGARH,25,28,1,7.2,7.7,7.4,7.9
MAHANADI AT KHARAD,CHHATTISGARH,21,36,1,5.5,7.9,7.4,8.5
"MAHANADI AT SHEORINARAYAN
VILLAGE",CHHATTISGARH,29,36,0,6,7,7.5,9
MAHANADI A/C WITH MAND,CHHATTISGARH,21,36,0,6,7.6,7.3,10
"MAHANADI AT INTERSTATE
BOUNDRY",CHHATTISGARH,19,28,1,6.8,7.4,7.2,7.5
"HASDEO 100 METER D/S A/C OF
DENGUR NALLAH NERA C.S.E.B.
EAST GUEST HOUSE, KORBA",CHHATTISGARH,25,26,1,4.6,5.8,7.1,7.2
"HASDEO D/S NEAR URGA VILLAGE
KORBA",CHHATTISGARH,25,26,1,4.2,5.2,7.2,7.2
HASDEO U/S KORBA,CHHATTISGARH,25,27,1,5.4,7.5,7.1,7.2
HASDEO U/S OF CHAMPA,CHHATTISGARH,21,37,0,6.2,8.2,7.5,8.5
"KHAROON BUNDRI, RAIPUR",CHHATTISGARH,24,27,1,6.2,7.4,7.2,7.8
ARPA D/S OF BILASPUR,CHHATTISGARH,27,27,1,7.3,7.3,8,8
KELO U/S OF RAIGARH,CHHATTISGARH,19,28,1,6.7,7.3,7.2,7.5
KELO D/S OF RAIGARH,CHHATTISGARH,19,28,1,6.5,7.3,7.3,7.7
SEONATH U/S RAJNANDGAON,CHHATTISGARH,32,32,1,6.8,7.6,7.4,7.6
"SEONATH AT SHIMGA A/C. WITH
R. KHAROON",CHHATTISGARH,26,29,1,7.4,7.8,7.5,7.8
"SHEONATH AT RAJNANDGAON,
D/S AT MOHAD, RAJNANDGAON",CHHATTISGARH,23,32,1,6.7,7.6,7.3,7.6
"INDRAVATI A/C DANTEWADA
NELSONNAR, DANTEWADA",CHHATTISGARH,18,27,1,7.6,7.8,7.6,7.9
"SHANKNI A/C DANKANI
DANTEWADA",CHHATTISGARH,18,27,1,7.3,7.9,7.5,7.8
"BRAHAMPUTRA AT KHERGHAT
(A/C WITH DIBANG & DIHANG)",ASSAM,19,28,0,5.8,9,6.8,8.2
BRAHAMPUTRA AT DIBRUGARH,ASSAM,18,30,1,6.1,10.5,7.2,8.2
BRAHAMPUTRA AT NIMATIGHAT,ASSAM,14,28,1,5.3,7.8,7.1,8
"BRAHMPUTRA AT
DHENUKHAPAHAR",ASSAM,19,26,1,6.3,8.4,6.9,8
BRAHAMPUTRA AT PANDU,ASSAM,20,32,1,6.4,7.6,7.1,8.1
BRAHMAPUTRA AT DHUBRI,ASSAM,21,31,1,4.7,6.6,6.9,7.9
"BRAHAMPUTRA AT JOGIJHOGA
NEAR BRIDGE",ASSAM,21,32,1,5.2,6.3,7.2,8.3
"BRAHMPUTRA NEAR WATER
INTAKE POINT AT KACHARIGHAT,
PANBAZAR, GUWAHATI",ASSAM,20,28,1,6.2,8.2,7.1,8.4
"BRAHMAPUTRA RIVER AT
CHANDRAPUR, GUWAHATI",ASSAM,21,29,1,5.9,8,6.5,8.1
"BRAHMPUTRA RIVER AT
SUALKUCHI, DIST. KAMRUP",ASSAM,21,34,1,4.9,8.1,7.2,8.4
"KATHAKAL, U/S AT MATIJURI,
DIST. HAILAKANDI",ASSAM,21,27,1,5.4,5.9,6.8,8.3
